lat,lon
19.840200,75.244500
19.840100,75.244800
19.840000,75.245100
19.839900,75.245400
19.839800,75.245700
19.839700,75.246000
19.839500,75.246200
19.839300,75.246400
19.839100,75.246500
19.839025,75.246287
19.838950,75.246400
19.838874,75.247022
19.838800,75.247200
19.838700,75.247500
19.838596,75.246614
19.838500,75.246800
19.838400,75.247000
19.838300,75.247300
19.838200,75.247600
19.838100,75.247900
19.838000,75.248200
19.837900,75.248500
19.837800,75.248800
19.837700,75.249100
19.837600,75.249400
19.837521,75.253234
19.837450,75.253300
19.837350,75.253400
19.837250,75.253500
19.837125,75.253271
19.837050,75.253400
19.837000,75.253679
19.836900,75.253800
19.836800,75.254000
19.836700,75.254200
